Date,INR=X,TCS.NS,^BSESN
2022-01-03,0.05962035991026138,0.43478847065912185,0.2269075882035556
2022-01-04,0.05040207481423753,0.47109342608031635,0.2464202022756521
2022-01-05,0.061380133335455334,0.45819689245903805,0.2570717278408772
2022-01-06,0.052637909911057434,0.4292072459574825,0.23905008714245923
2022-01-07,0.05173670225461091,0.4541601913801381,0.24319238485264427
2022-01-10,0.03928208881605144,0.46843823546080654,0.26207468622029695
2022-01-11,0.021513787013318186,0.48797222363079373,0.2684925906815241
2022-01-12,0.0013511750385850618,0.4576279123875089,0.28395706304871937
2022-01-13,0.0,0.47821857783319266,0.28643015947149375
2022-01-14,0.014447962576970674,0.5162844631900467,0.28607427016632414
2022-01-17,0.048374994033318686,0.543919444949873,0.2885652686935929
2022-01-18,0.038039109611927024,0.5284493018621979,0.27249450416722465
2022-01-19,0.06845423157090824,0.4910220462999144,0.2534654735253934
2022-01-20,0.05423157090804942,0.44320042714519636,0.2350699281128532
2022-01-21,0.05448169421947835,0.44697314533376686,0.22267158770592244
2022-01-24,0.05122818183264677,0.41323717594981635,0.17783803308898105
2022-01-25,0.07054813919075897,0.41244999985085706,0.188472676289841
2022-01-26,0.08182660026412591,0.41244999985085706,0.188472676289841
2022-01-27,0.09141975210425013,0.34696016990356426,0.17161421916572128
2022-01-28,0.1176387850244236,0.3691063955448042,0.16938914620331502
2022-01-31,0.10343267195977734,0.3941846209832096,0.19299828298423094
2022-02-01,0.06312399560852278,0.42914192137784135,0.21760687839644288
2022-02-02,0.07894859106747987,0.45929503145423234,0.23778798877560714
2022-02-03,0.08536396760489495,0.44214225844074106,0.21544446279976692
2022-02-04,0.07047303855272169,0.43687662006448913,0.21129083464369947
2022-02-07,0.0703311110757534,0.41738961190040835,0.1815995145130549
2022-02-08,0.07167464876131735,0.39809276090308976,0.18703484270735116
2022-02-09,0.07475250202867212,0.40737481692711985,0.20610307669193584
2022-02-10,0.08423745803433658,0.4126944450244443,0.21944762263451456
2022-02-11,0.1450925233496161,0.3717662095934664,0.19702285736169656
2022-02-14,0.12862575379083196,0.3928277190983416,0.1463470982388182
2022-02-15,0.15735556651657223,0.4384509722624077,0.1967075310527866
2022-02-16,0.11476077582777844,0.43589973422739514,0.1924909056176125
2022-02-17,0.10368279527120627,0.42021228996954485,0.1894549126433953
2022-02-18,0.10543493134337911,0.42547777920292096,0.18774231574825473
2022-02-21,0.07368518194402451,0.3850379866904896,0.18340943993832615
2022-02-22,0.05988703081990199,0.3128438861860885,0.17230277036200103
2022-02-23,0.06872981272573941,0.30057628807244763,0.17031235093382135
2022-02-24,0.06956419354325494,0.21255932157888613,0.09193399154159554
2022-02-25,0.13423984470715578,0.27720828399189856,0.1304715572950057
2022-02-28,0.10585180352909429,0.29536538513164845,0.1417479569506508
2022-03-01,0.12393705548218747,0.29536538513164845,0.1417479569506508
2022-03-02,0.16701554519562833,0.29099579715375734,0.11917023065841903
2022-03-03,0.15281706948400142,0.2900457570343238,0.10854771103465333
2022-03-04,0.17456506865662202,0.2791626522375905,0.08624588109966069
2022-03-07,0.21846902894238607,0.25774827068835404,0.04299632281709331
2022-03-08,0.273760282582062,0.3201991653964664,0.059858632292813185
2022-03-09,0.25988703081990217,0.33792226076737,0.09533981026941762
2022-03-10,0.19485306051011175,0.33159800625803504,0.11903947731293485
2022-03-11,0.20948495600566464,0.3197647121989924,0.12153138227587412
2022-03-14,0.24647329313115574,0.3435671694770155,0.1486727855606611
2022-03-15,0.2244834444462125,0.3169150392693192,0.1281027009743505
2022-03-16,0.20578083979060935,0.3505697257859084,0.1582629882600719
2022-03-17,0.18561822781587622,0.3597157635071244,0.18864036688890207
2022-03-18,0.1820643128768955,0.3597157635071244,0.18864036688890207
2022-03-21,0.17912838708650902,0.3347191192218322,0.1720651709118448
2022-03-22,0.20921764864993886,0.3750231917172011,0.19227687349489186
2022-03-23,0.19209979474613803,0.3812384227842587,0.18344513084285596
2022-03-24,0.22968066317682112,0.40156674591124797,0.18085952309246855
2022-03-25,0.21058600773281988,0.3785516138750602,0.17408720228403674
